video,output,flag,username,timestamp
/home/dumball/code/uniformer_video_demo/flagged/video/3a693147784a8fbf7bff91bb737ed7e6ca036f9f/tmp7tz2rtgt.mp4,/home/dumball/code/uniformer_video_demo/flagged/output/tmpq8tsyntk.json,,,2024-01-20 12:46:38.774822
/home/dumball/code/uniformer_video_demo/flagged/video/cb527d44c913166139c5f5681a47b1eb39c06753/tmpvnk8h4bq.mp4,/home/dumball/code/uniformer_video_demo/flagged/output/tmpkneytcxw.json,,,2024-01-20 14:32:21.784470
/home/dumball/code/uniformer_video_demo/flagged/video/e2ef7848ff5cc3045d46a251dd6ff50a601136af/tmpic0zejjf.mp4,/home/dumball/code/uniformer_video_demo/flagged/output/tmp5jatmb_0.json,,,2024-01-20 14:44:43.404548
